age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[0, 80)",Private,99212,Assoc-voc,11,Spouse present,Exec-managerial, Husband,*,Male,3103,0,48,*, >50K
"[0, 80)",Self-emp-inc,179951,Prof-school,15,Spouse present,Exec-managerial, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",Federal-gov,115433,Assoc-acdm,12,Spouse present,Adm-clerical, Wife,*,Female,7688,0,33,*, >50K
"[0, 80)",Self-emp-not-inc,267161,Bachelors,13,Spouse not present,Exec-managerial, Unmarried,*,Female,0,0,30,*, <=50K
"[0, 80)",Private,439919,9th,5,Spouse present,Machine-op-inspct, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",State-gov,93589,HS-grad,9,Spouse not present,Protective-serv, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,95329,Masters,14,Spouse not present,Protective-serv, Unmarried,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,227594,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,30,*, <=50K
"[0, 80)",Private,50295,Some-college,10,Spouse present,Exec-managerial, Husband,*,Male,0,0,48,*, <=50K
"[0, 80)",Local-gov,159187,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,35,*, <=50K
"[0, 80)",Private,167963,HS-grad,9,Spouse not present,Adm-clerical, Unmarried,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,237903,Bachelors,13,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,40,*, <=50K
"[0, 80)",Federal-gov,129707,Some-college,10,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,50,*, <=50K
"[0, 80)",Private,231562,HS-grad,9,Spouse not present,Sales, Own-child,*,Female,0,0,33,*, <=50K
"[0, 80)",Private,195813,5th-6th,3,Spouse present,Craft-repair, Husband,*,Male,5178,0,40,*, >50K
"[0, 80)",Private,190511,Some-college,10,Spouse present,Exec-managerial, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,260254,HS-grad,9,Spouse not present,Sales, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,94392,11th,7,Spouse not present,Other-service, Unmarried,*,Female,0,0,20,*, <=50K
"[0, 80)",Federal-gov,329426,Bachelors,13,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,167309,Bachelors,13,Spouse present,Adm-clerical, Husband,*,Male,0,1902,40,*, >50K
"[0, 80)",Private,188476,11th,7,Spouse not present,Exec-managerial, Own-child,*,Male,0,0,20,*, <=50K
"[0, 80)",Private,456399,Assoc-acdm,12,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,184303,Some-college,10,Spouse not present,Priv-house-serv, Other-relative,*,Female,0,0,30,*, <=50K
"[0, 80)",Private,96710,HS-grad,9,Spouse present,Priv-house-serv, Other-relative,*,Female,0,0,20,*, <=50K
"[0, 80)",Private,160035,Some-college,10,Spouse not present,Machine-op-inspct, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,287190,Assoc-acdm,12,Spouse not present,Adm-clerical, Unmarried,*,Male,0,0,35,*, <=50K
"[0, 80)",Private,107231,Prof-school,15,Spouse present,Exec-managerial, Husband,*,Male,99999,0,50,*, >50K
"[0, 80)",Private,38360,HS-grad,9,Spouse not present,Other-service, Unmarried,*,Female,0,0,16,*, <=50K
"[0, 80)",Federal-gov,232997,Some-college,10,Spouse present,Transport-moving, Husband,*,Male,0,0,65,*, >50K
"[0, 80)",Self-emp-inc,145290,HS-grad,9,Spouse present,Other-service, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Local-gov,257855,11th,7,Spouse present,Other-service, Husband,*,Male,0,0,50,*, <=50K
"[0, 80)",Private,347530,HS-grad,9,Spouse not present,Other-service, Unmarried,*,Female,0,0,25,*, <=50K
"[0, 80)",?,178556,10th,6,Spouse present,?, Husband,*,Male,0,0,56,*, >50K
"[0, 80)",Private,155659,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,135044,HS-grad,9,Spouse not present,Machine-op-inspct, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",?,193416,Some-college,10,Spouse not present,?, Own-child,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,65353,Some-college,10,Spouse not present,Transport-moving, Own-child,*,Male,3325,0,55,*, <=50K
"[0, 80)",Federal-gov,352768,HS-grad,9,Spouse not present,Adm-clerical, Own-child,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,177119,Masters,14,Spouse not present,Exec-managerial, Not-in-family,*,Female,0,0,80,*, <=50K
"[0, 80)",Private,121127,10th,6,Spouse not present,Sales, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Local-gov,206297,HS-grad,9,Spouse present,Protective-serv, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,84747,HS-grad,9,Spouse not present,Sales, Own-child,*,Female,0,0,24,*, <=50K
"[0, 80)",Private,57052,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,2885,0,40,*, <=50K
"[0, 80)",Local-gov,291175,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Female,0,0,48,*, <=50K
"[0, 80)",Private,228583,HS-grad,9,Spouse not present,Other-service, Unmarried,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,125892,9th,5,Spouse present,Machine-op-inspct, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,154941,Bachelors,13,Spouse present,Sales, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",State-gov,262664,Bachelors,13,Spouse present,Protective-serv, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,162494,Bachelors,13,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
>=80,?,106765,Some-college,10,Spouse not present,?, Unmarried,*,Female,0,0,4,*, <=50K
"[0, 80)",State-gov,227734,HS-grad,9,Spouse present,Adm-clerical, Husband,*,Male,3464,0,40,*, <=50K
"[0, 80)",Private,283499,HS-grad,9,Spouse not present,Transport-moving, Not-in-family,*,Male,0,0,35,*, <=50K
"[0, 80)",Self-emp-inc,186410,Prof-school,15,Spouse not present,Other-service, Not-in-family,*,Male,0,0,60,*, >50K
"[0, 80)",Private,33887,Some-college,10,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,278151,HS-grad,9,Spouse present,Protective-serv, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,113466,HS-grad,9,Spouse not present,Sales, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,172047,HS-grad,9,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,355856,Bachelors,13,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",State-gov,28366,Bachelors,13,Spouse not present,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,29814,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,227310,Some-college,10,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,139268,Some-college,10,Spouse not present,Craft-repair, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,106023,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,294253,HS-grad,9,Spouse not present,Other-service, Own-child,*,Female,0,0,27,*, <=50K
"[0, 80)",Private,152461,Bachelors,13,Spouse not present,Prof-specialty, Unmarried,*,Female,14344,0,50,*, >50K
"[0, 80)",Private,336793,Bachelors,13,Spouse not present,Adm-clerical, Other-relative,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,24266,Assoc-voc,11,Spouse present,Craft-repair, Husband,*,Male,7688,0,40,*, >50K
"[0, 80)",Private,110970,Bachelors,13,Spouse present,Prof-specialty, Husband,*,Male,0,1902,40,*, >50K
"[0, 80)",Private,188540,Bachelors,13,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,187635,HS-grad,9,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,175614,Assoc-voc,11,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,40,*, >50K
"[0, 80)",Private,161510,Bachelors,13,Spouse present,Sales, Husband,*,Male,7298,0,40,*, >50K
"[0, 80)",Private,233130,HS-grad,9,Spouse not present,Sales, Not-in-family,*,Male,0,0,20,*, <=50K
"[0, 80)",Local-gov,386949,HS-grad,9,Spouse not present,Adm-clerical, Unmarried,*,Female,0,0,25,*, <=50K
"[0, 80)",Private,104996,7th-8th,4,Spouse present,Transport-moving, Husband,*,Male,0,0,50,*, <=50K
"[0, 80)",Private,47353,10th,6,Spouse present,Other-service, Wife,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,217961,Some-college,10,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,15,*, <=50K
"[0, 80)",Self-emp-not-inc,326400,HS-grad,9,Spouse present,Transport-moving, Husband,*,Male,0,0,30,*, <=50K
"[0, 80)",Private,109463,Some-college,10,Spouse not present,Sales, Unmarried,*,Female,0,1617,33,*, <=50K
"[0, 80)",Private,236262,11th,7,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,12,*, <=50K
"[0, 80)",?,103654,HS-grad,9,Spouse not present,?, Not-in-family,*,Female,0,0,20,*, <=50K
"[0, 80)",Private,99374,Some-college,10,Spouse not present,Craft-repair, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",?,224421,Some-college,10,Spouse not present,?, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,33088,11th,7,Spouse not present,Handlers-cleaners, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,287008,Prof-school,15,Spouse present,Prof-specialty, Husband,*,Male,15024,0,55,*, >50K
"[0, 80)",Private,93056,7th-8th,4,Spouse not present,Handlers-cleaners, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,386136,HS-grad,9,Spouse present,Transport-moving, Husband,*,Male,0,0,35,*, <=50K
"[0, 80)",?,195767,HS-grad,9,Spouse not present,?, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Self-emp-not-inc,149220,Some-college,10,Spouse present,Farming-fishing, Husband,*,Male,0,0,75,*, <=50K
"[0, 80)",Private,316101,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,112181,Bachelors,13,Spouse present,Sales, Wife,*,Female,0,0,12,*, >50K
"[0, 80)",Private,174717,Bachelors,13,Spouse present,Sales, Husband,*,Male,0,0,50,*, >50K
"[0, 80)",Local-gov,353270,Assoc-voc,11,Spouse not present,Craft-repair, Own-child,*,Female,0,0,40,*, <=50K
"[0, 80)",Self-emp-not-inc,185407,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,50,*, >50K
"[0, 80)",Self-emp-not-inc,137527,Doctorate,16,Spouse not present,Prof-specialty, Not-in-family,*,Female,0,2559,60,*, >50K
"[0, 80)",Private,85389,HS-grad,9,Spouse not present,Tech-support, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,129059,Some-college,10,Spouse not present,Sales, Own-child,*,Male,0,0,30,*, <=50K
"[0, 80)",Private,159187,HS-grad,9,Spouse not present,Transport-moving, Own-child,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,182276,HS-grad,9,Spouse present,Other-service, Wife,*,Female,0,0,25,*, <=50K
"[0, 80)",?,174461,HS-grad,9,Spouse not present,?, Own-child,*,Female,0,0,5,*, <=50K
"[0, 80)",Private,87284,Prof-school,15,Spouse present,Prof-specialty, Husband,*,Male,7298,0,35,*, >50K
"[0, 80)",Private,38950,Bachelors,13,Spouse not present,Craft-repair, Not-in-family,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,31290,HS-grad,9,Spouse present,Adm-clerical, Wife,*,Female,0,0,40,*, >50K
"[0, 80)",Private,120238,Bachelors,13,Spouse not present,Sales, Other-relative,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,117526,Some-college,10,Spouse not present,Farming-fishing, Not-in-family,*,Female,0,0,45,*, <=50K
"[0, 80)",Private,268553,HS-grad,9,Spouse present,Transport-moving, Husband,*,Male,7298,0,40,*, >50K
"[0, 80)",Private,155433,HS-grad,9,Spouse present,Other-service, Wife,*,Female,0,0,35,*, <=50K
"[0, 80)",Private,163814,10th,6,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, <=50K
"[0, 80)",Private,36601,Some-college,10,Spouse not present,Other-service, Unmarried,*,Female,0,0,35,*, <=50K
"[0, 80)",Private,75913,12th,8,Spouse not present,Sales, Not-in-family,*,Female,0,0,30,*, <=50K
"[0, 80)",Private,276664,Doctorate,16,Spouse present,Prof-specialty, Husband,*,Male,0,1902,50,*, >50K
"[0, 80)",Private,191777,Masters,14,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,204501,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,55,*, >50K
"[0, 80)",Self-emp-inc,168796,Bachelors,13,Spouse present,Sales, Husband,*,Male,0,0,55,*, <=50K
"[0, 80)",Self-emp-inc,127651,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,1887,48,*, >50K
>=80,Local-gov,187749,Assoc-acdm,12,Spouse present,Adm-clerical, Husband,*,Male,0,0,20,*, <=50K
"[0, 80)",Private,141570,Masters,14,Spouse present,Exec-managerial, Husband,*,Male,0,1977,40,*, >50K
"[0, 80)",Private,63021,Some-college,10,Spouse not present,Sales, Not-in-family,*,Female,0,0,35,*, <=50K
"[0, 80)",State-gov,160369,HS-grad,9,Spouse not present,Protective-serv, Not-in-family,*,Male,0,0,40,*, >50K
"[0, 80)",Federal-gov,27432,HS-grad,9,Spouse present,Adm-clerical, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Private,152568,HS-grad,9,Spouse not present,Sales, Unmarried,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,46870,Some-college,10,Spouse not present,Exec-managerial, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",State-gov,118447,Bachelors,13,Spouse present,Prof-specialty, Husband,*,Male,0,0,60,*, >50K
"[0, 80)",Self-emp-not-inc,60981,11th,7,Spouse not present,Other-service, Own-child,*,Female,0,0,4,*, <=50K
"[0, 80)",?,247986,Prof-school,15,Spouse present,?, Husband,*,Male,0,0,30,*, >50K
"[0, 80)",Private,199419,Some-college,10,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
"[0, 80)",Private,99385,Bachelors,13,Spouse not present,Exec-managerial, Unmarried,*,Female,0,0,40,*, <=50K
"[0, 80)",?,303588,HS-grad,9,Spouse present,?, Husband,*,Male,0,0,20,*, <=50K
"[0, 80)",State-gov,318982,Masters,14,Spouse present,Machine-op-inspct, Husband,*,Male,0,1848,40,*, >50K
"[0, 80)",Private,169092,Masters,14,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,50,*, >50K
"[0, 80)",Self-emp-not-inc,223131,HS-grad,9,Spouse not present,Exec-managerial, Not-in-family,*,Male,0,0,60,*, <=50K
"[0, 80)",Local-gov,171328,HS-grad,9,Spouse not present,Protective-serv, Other-relative,*,Female,0,2339,40,*, <=50K
"[0, 80)",Private,328216,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,*, >50K
"[0, 80)",Self-emp-inc,354075,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,50,*, >50K
