age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[0, 80)",State-gov,262664,Bachelors,13,*,Protective-serv, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,162494,Bachelors,13,*,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",State-gov,227734,HS-grad,9,*,Adm-clerical, Husband,*,Male,3464,0,40,United-States, <=50K
"[0, 80)",Private,283499,HS-grad,9,*,Transport-moving, Not-in-family,*,Male,0,0,35,United-States, <=50K
"[0, 80)",Self-emp-inc,186410,Prof-school,15,*,Other-service, Not-in-family,*,Male,0,0,60,United-States, >50K
"[0, 80)",Private,33887,Some-college,10,*,Prof-specialty, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,278151,HS-grad,9,*,Protective-serv, Husband,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,113466,HS-grad,9,*,Sales, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,172047,HS-grad,9,*,Handlers-cleaners, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",State-gov,28366,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,29814,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,227310,Some-college,10,*,Adm-clerical, Unmarried,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,139268,Some-college,10,*,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,106023,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Private,294253,HS-grad,9,*,Other-service, Own-child,*,Female,0,0,27,United-States, <=50K
"[0, 80)",Private,152461,Bachelors,13,*,Prof-specialty, Unmarried,*,Female,14344,0,50,United-States, >50K
"[0, 80)",Private,336793,Bachelors,13,*,Adm-clerical, Other-relative,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,24266,Assoc-voc,11,*,Craft-repair, Husband,*,Male,7688,0,40,United-States, >50K
"[0, 80)",Private,110970,Bachelors,13,*,Prof-specialty, Husband,*,Male,0,1902,40,United-States, >50K
"[0, 80)",Private,188540,Bachelors,13,*,Exec-managerial, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,175614,Assoc-voc,11,*,Prof-specialty, Unmarried,*,Female,0,0,40,United-States, >50K
"[0, 80)",Private,161510,Bachelors,13,*,Sales, Husband,*,Male,7298,0,40,United-States, >50K
"[0, 80)",Local-gov,386949,HS-grad,9,*,Adm-clerical, Unmarried,*,Female,0,0,25,United-States, <=50K
"[0, 80)",Private,104996,7th-8th,4,*,Transport-moving, Husband,*,Male,0,0,50,United-States, <=50K
"[0, 80)",Private,47353,10th,6,*,Other-service, Wife,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,217961,Some-college,10,*,Handlers-cleaners, Own-child,*,Male,0,0,15,United-States, <=50K
"[0, 80)",Self-emp-not-inc,326400,HS-grad,9,*,Transport-moving, Husband,*,Male,0,0,30,United-States, <=50K
"[0, 80)",Private,236262,11th,7,*,Handlers-cleaners, Own-child,*,Male,0,0,12,United-States, <=50K
"[0, 80)",Private,99374,Some-college,10,*,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",?,224421,Some-college,10,*,?, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,33088,11th,7,*,Handlers-cleaners, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,93056,7th-8th,4,*,Handlers-cleaners, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,386136,HS-grad,9,*,Transport-moving, Husband,*,Male,0,0,35,United-States, <=50K
"[0, 80)",?,195767,HS-grad,9,*,?, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Self-emp-not-inc,149220,Some-college,10,*,Farming-fishing, Husband,*,Male,0,0,75,United-States, <=50K
"[0, 80)",Private,316101,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,174717,Bachelors,13,*,Sales, Husband,*,Male,0,0,50,United-States, >50K
"[0, 80)",Local-gov,353270,Assoc-voc,11,*,Craft-repair, Own-child,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Self-emp-not-inc,185407,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
"[0, 80)",Self-emp-not-inc,137527,Doctorate,16,*,Prof-specialty, Not-in-family,*,Female,0,2559,60,United-States, >50K
"[0, 80)",Private,85389,HS-grad,9,*,Tech-support, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,129059,Some-college,10,*,Sales, Own-child,*,Male,0,0,30,United-States, <=50K
"[0, 80)",Private,159187,HS-grad,9,*,Transport-moving, Own-child,*,Male,0,0,40,United-States, <=50K
"[0, 80)",?,174461,HS-grad,9,*,?, Own-child,*,Female,0,0,5,United-States, <=50K
"[0, 80)",Private,87284,Prof-school,15,*,Prof-specialty, Husband,*,Male,7298,0,35,United-States, >50K
"[0, 80)",Private,38950,Bachelors,13,*,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,31290,HS-grad,9,*,Adm-clerical, Wife,*,Female,0,0,40,United-States, >50K
"[0, 80)",Private,120238,Bachelors,13,*,Sales, Other-relative,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,117526,Some-college,10,*,Farming-fishing, Not-in-family,*,Female,0,0,45,United-States, <=50K
"[0, 80)",Private,268553,HS-grad,9,*,Transport-moving, Husband,*,Male,7298,0,40,United-States, >50K
"[0, 80)",Private,155433,HS-grad,9,*,Other-service, Wife,*,Female,0,0,35,United-States, <=50K
"[0, 80)",Private,163814,10th,6,*,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
"[0, 80)",Private,36601,Some-college,10,*,Other-service, Unmarried,*,Female,0,0,35,United-States, <=50K
"[0, 80)",Private,276664,Doctorate,16,*,Prof-specialty, Husband,*,Male,0,1902,50,United-States, >50K
"[0, 80)",Private,191777,Masters,14,*,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,204501,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,55,United-States, >50K
"[0, 80)",Self-emp-inc,168796,Bachelors,13,*,Sales, Husband,*,Male,0,0,55,United-States, <=50K
"[0, 80)",Self-emp-inc,127651,HS-grad,9,*,Craft-repair, Husband,*,Male,0,1887,48,United-States, >50K
"[0, 80)",Private,141570,Masters,14,*,Exec-managerial, Husband,*,Male,0,1977,40,United-States, >50K
"[0, 80)",Private,63021,Some-college,10,*,Sales, Not-in-family,*,Female,0,0,35,United-States, <=50K
"[0, 80)",State-gov,160369,HS-grad,9,*,Protective-serv, Not-in-family,*,Male,0,0,40,United-States, >50K
"[0, 80)",Federal-gov,27432,HS-grad,9,*,Adm-clerical, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",State-gov,118447,Bachelors,13,*,Prof-specialty, Husband,*,Male,0,0,60,United-States, >50K
"[0, 80)",Self-emp-not-inc,60981,11th,7,*,Other-service, Own-child,*,Female,0,0,4,United-States, <=50K
"[0, 80)",?,247986,Prof-school,15,*,?, Husband,*,Male,0,0,30,United-States, >50K
"[0, 80)",Private,199419,Some-college,10,*,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
"[0, 80)",Private,99385,Bachelors,13,*,Exec-managerial, Unmarried,*,Female,0,0,40,United-States, <=50K
"[0, 80)",State-gov,318982,Masters,14,*,Machine-op-inspct, Husband,*,Male,0,1848,40,United-States, >50K
"[0, 80)",Private,169092,Masters,14,*,Prof-specialty, Unmarried,*,Female,0,0,50,United-States, >50K
"[0, 80)",Private,328216,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
"[0, 80)",Self-emp-inc,354075,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
