age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
*,Private,95329,Masters,14,*,Protective-serv, Unmarried,*,Male,0,0,40,*, <=50K
*,Private,227594,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,30,*, <=50K
*,Private,50295,Some-college,10,*,Exec-managerial, Husband,*,Male,0,0,48,*, <=50K
*,Local-gov,159187,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,35,*, <=50K
*,Private,167963,HS-grad,9,*,Adm-clerical, Unmarried,*,Male,0,0,40,*, <=50K
*,Private,237903,Bachelors,13,*,Prof-specialty, Unmarried,*,Female,0,0,40,*, <=50K
*,Federal-gov,129707,Some-college,10,*,Exec-managerial, Not-in-family,*,Male,0,0,50,*, <=50K
*,Private,231562,HS-grad,9,*,Sales, Own-child,*,Female,0,0,33,*, <=50K
*,Private,195813,5th-6th,3,*,Craft-repair, Husband,*,Male,5178,0,40,*, >50K
*,Private,190511,Some-college,10,*,Exec-managerial, Husband,*,Male,0,0,40,*, >50K
*,Private,260254,HS-grad,9,*,Sales, Own-child,*,Male,0,0,40,*, <=50K
*,Private,94392,11th,7,*,Other-service, Unmarried,*,Female,0,0,20,*, <=50K
*,Federal-gov,329426,Bachelors,13,*,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,167309,Bachelors,13,*,Adm-clerical, Husband,*,Male,0,1902,40,*, >50K
*,Private,188476,11th,7,*,Exec-managerial, Own-child,*,Male,0,0,20,*, <=50K
*,Private,456399,Assoc-acdm,12,*,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,184303,Some-college,10,*,Priv-house-serv, Other-relative,*,Female,0,0,30,*, <=50K
*,Private,96710,HS-grad,9,*,Priv-house-serv, Other-relative,*,Female,0,0,20,*, <=50K
*,Private,160035,Some-college,10,*,Machine-op-inspct, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,287190,Assoc-acdm,12,*,Adm-clerical, Unmarried,*,Male,0,0,35,*, <=50K
*,Private,107231,Prof-school,15,*,Exec-managerial, Husband,*,Male,99999,0,50,*, >50K
*,Private,38360,HS-grad,9,*,Other-service, Unmarried,*,Female,0,0,16,*, <=50K
*,Federal-gov,232997,Some-college,10,*,Transport-moving, Husband,*,Male,0,0,65,*, >50K
*,Self-emp-inc,145290,HS-grad,9,*,Other-service, Husband,*,Male,0,0,40,*, >50K
*,Local-gov,257855,11th,7,*,Other-service, Husband,*,Male,0,0,50,*, <=50K
*,Private,347530,HS-grad,9,*,Other-service, Unmarried,*,Female,0,0,25,*, <=50K
*,?,178556,10th,6,*,?, Husband,*,Male,0,0,56,*, >50K
*,Private,155659,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,*, >50K
*,Private,135044,HS-grad,9,*,Machine-op-inspct, Not-in-family,*,Female,0,0,40,*, <=50K
*,?,193416,Some-college,10,*,?, Own-child,*,Female,0,0,40,*, <=50K
*,Private,65353,Some-college,10,*,Transport-moving, Own-child,*,Male,3325,0,55,*, <=50K
*,Federal-gov,352768,HS-grad,9,*,Adm-clerical, Own-child,*,Female,0,0,40,*, <=50K
*,Private,177119,Masters,14,*,Exec-managerial, Not-in-family,*,Female,0,0,80,*, <=50K
*,Private,121127,10th,6,*,Sales, Not-in-family,*,Female,0,0,40,*, <=50K
*,Local-gov,206297,HS-grad,9,*,Protective-serv, Husband,*,Male,0,0,40,*, >50K
*,Private,84747,HS-grad,9,*,Sales, Own-child,*,Female,0,0,24,*, <=50K
*,Private,57052,HS-grad,9,*,Craft-repair, Husband,*,Male,2885,0,40,*, <=50K
*,Local-gov,291175,Bachelors,13,*,Prof-specialty, Not-in-family,*,Female,0,0,48,*, <=50K
*,Private,228583,HS-grad,9,*,Other-service, Unmarried,*,Male,0,0,40,*, <=50K
*,Private,125892,9th,5,*,Machine-op-inspct, Husband,*,Male,0,0,40,*, <=50K
*,Private,154941,Bachelors,13,*,Sales, Husband,*,Male,0,0,40,*, >50K
*,State-gov,262664,Bachelors,13,*,Protective-serv, Husband,*,Male,0,0,40,*, >50K
*,Private,162494,Bachelors,13,*,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
*,?,106765,Some-college,10,*,?, Unmarried,*,Female,0,0,4,*, <=50K
*,State-gov,227734,HS-grad,9,*,Adm-clerical, Husband,*,Male,3464,0,40,*, <=50K
*,Private,283499,HS-grad,9,*,Transport-moving, Not-in-family,*,Male,0,0,35,*, <=50K
*,Self-emp-inc,186410,Prof-school,15,*,Other-service, Not-in-family,*,Male,0,0,60,*, >50K
*,Private,33887,Some-college,10,*,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,278151,HS-grad,9,*,Protective-serv, Husband,*,Male,0,0,40,*, <=50K
*,Private,113466,HS-grad,9,*,Sales, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,172047,HS-grad,9,*,Handlers-cleaners, Own-child,*,Male,0,0,40,*, <=50K
*,Private,355856,Bachelors,13,*,Craft-repair, Husband,*,Male,0,0,40,*, >50K
*,State-gov,28366,Bachelors,13,*,Prof-specialty, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,29814,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,*, <=50K
*,Private,227310,Some-college,10,*,Adm-clerical, Unmarried,*,Female,0,0,40,*, <=50K
*,Private,139268,Some-college,10,*,Craft-repair, Own-child,*,Male,0,0,40,*, <=50K
*,Private,106023,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,*, >50K
*,Private,294253,HS-grad,9,*,Other-service, Own-child,*,Female,0,0,27,*, <=50K
*,Private,152461,Bachelors,13,*,Prof-specialty, Unmarried,*,Female,14344,0,50,*, >50K
*,Private,336793,Bachelors,13,*,Adm-clerical, Other-relative,*,Male,0,0,40,*, <=50K
*,Private,24266,Assoc-voc,11,*,Craft-repair, Husband,*,Male,7688,0,40,*, >50K
*,Private,110970,Bachelors,13,*,Prof-specialty, Husband,*,Male,0,1902,40,*, >50K
*,Private,188540,Bachelors,13,*,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,187635,HS-grad,9,*,Exec-managerial, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,175614,Assoc-voc,11,*,Prof-specialty, Unmarried,*,Female,0,0,40,*, >50K
*,Private,161510,Bachelors,13,*,Sales, Husband,*,Male,7298,0,40,*, >50K
*,Private,233130,HS-grad,9,*,Sales, Not-in-family,*,Male,0,0,20,*, <=50K
*,Local-gov,386949,HS-grad,9,*,Adm-clerical, Unmarried,*,Female,0,0,25,*, <=50K
*,Private,104996,7th-8th,4,*,Transport-moving, Husband,*,Male,0,0,50,*, <=50K
*,Private,47353,10th,6,*,Other-service, Wife,*,Female,0,0,40,*, <=50K
*,Private,217961,Some-college,10,*,Handlers-cleaners, Own-child,*,Male,0,0,15,*, <=50K
*,Self-emp-not-inc,326400,HS-grad,9,*,Transport-moving, Husband,*,Male,0,0,30,*, <=50K
*,Private,109463,Some-college,10,*,Sales, Unmarried,*,Female,0,1617,33,*, <=50K
*,Private,236262,11th,7,*,Handlers-cleaners, Own-child,*,Male,0,0,12,*, <=50K
*,?,103654,HS-grad,9,*,?, Not-in-family,*,Female,0,0,20,*, <=50K
*,Private,99374,Some-college,10,*,Craft-repair, Not-in-family,*,Male,0,0,40,*, <=50K
*,?,224421,Some-college,10,*,?, Own-child,*,Male,0,0,40,*, <=50K
*,Private,33088,11th,7,*,Handlers-cleaners, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,287008,Prof-school,15,*,Prof-specialty, Husband,*,Male,15024,0,55,*, >50K
*,Private,93056,7th-8th,4,*,Handlers-cleaners, Own-child,*,Male,0,0,40,*, <=50K
*,Private,386136,HS-grad,9,*,Transport-moving, Husband,*,Male,0,0,35,*, <=50K
*,?,195767,HS-grad,9,*,?, Own-child,*,Male,0,0,40,*, <=50K
*,Self-emp-not-inc,149220,Some-college,10,*,Farming-fishing, Husband,*,Male,0,0,75,*, <=50K
*,Private,316101,HS-grad,9,*,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
*,Private,112181,Bachelors,13,*,Sales, Wife,*,Female,0,0,12,*, >50K
*,Private,174717,Bachelors,13,*,Sales, Husband,*,Male,0,0,50,*, >50K
*,Local-gov,353270,Assoc-voc,11,*,Craft-repair, Own-child,*,Female,0,0,40,*, <=50K
*,Self-emp-not-inc,185407,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,50,*, >50K
*,Self-emp-not-inc,137527,Doctorate,16,*,Prof-specialty, Not-in-family,*,Female,0,2559,60,*, >50K
*,Private,85389,HS-grad,9,*,Tech-support, Own-child,*,Male,0,0,40,*, <=50K
*,Private,129059,Some-college,10,*,Sales, Own-child,*,Male,0,0,30,*, <=50K
*,Private,159187,HS-grad,9,*,Transport-moving, Own-child,*,Male,0,0,40,*, <=50K
*,Private,182276,HS-grad,9,*,Other-service, Wife,*,Female,0,0,25,*, <=50K
*,?,174461,HS-grad,9,*,?, Own-child,*,Female,0,0,5,*, <=50K
*,Private,87284,Prof-school,15,*,Prof-specialty, Husband,*,Male,7298,0,35,*, >50K
*,Private,38950,Bachelors,13,*,Craft-repair, Not-in-family,*,Male,0,0,40,*, <=50K
*,Private,31290,HS-grad,9,*,Adm-clerical, Wife,*,Female,0,0,40,*, >50K
*,Private,120238,Bachelors,13,*,Sales, Other-relative,*,Male,0,0,40,*, <=50K
*,Private,117526,Some-college,10,*,Farming-fishing, Not-in-family,*,Female,0,0,45,*, <=50K
*,Private,268553,HS-grad,9,*,Transport-moving, Husband,*,Male,7298,0,40,*, >50K
*,Private,155433,HS-grad,9,*,Other-service, Wife,*,Female,0,0,35,*, <=50K
*,Private,163814,10th,6,*,Craft-repair, Husband,*,Male,0,0,40,*, <=50K
*,Private,36601,Some-college,10,*,Other-service, Unmarried,*,Female,0,0,35,*, <=50K
*,Private,75913,12th,8,*,Sales, Not-in-family,*,Female,0,0,30,*, <=50K
*,Private,276664,Doctorate,16,*,Prof-specialty, Husband,*,Male,0,1902,50,*, >50K
*,Private,191777,Masters,14,*,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
*,Private,204501,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,55,*, >50K
*,Self-emp-inc,168796,Bachelors,13,*,Sales, Husband,*,Male,0,0,55,*, <=50K
*,Self-emp-inc,127651,HS-grad,9,*,Craft-repair, Husband,*,Male,0,1887,48,*, >50K
*,Local-gov,187749,Assoc-acdm,12,*,Adm-clerical, Husband,*,Male,0,0,20,*, <=50K
*,Private,141570,Masters,14,*,Exec-managerial, Husband,*,Male,0,1977,40,*, >50K
*,Private,63021,Some-college,10,*,Sales, Not-in-family,*,Female,0,0,35,*, <=50K
*,State-gov,160369,HS-grad,9,*,Protective-serv, Not-in-family,*,Male,0,0,40,*, >50K
*,Federal-gov,27432,HS-grad,9,*,Adm-clerical, Husband,*,Male,0,0,40,*, >50K
*,Private,152568,HS-grad,9,*,Sales, Unmarried,*,Female,0,0,40,*, <=50K
*,Private,46870,Some-college,10,*,Exec-managerial, Not-in-family,*,Female,0,0,40,*, <=50K
*,State-gov,118447,Bachelors,13,*,Prof-specialty, Husband,*,Male,0,0,60,*, >50K
*,Self-emp-not-inc,60981,11th,7,*,Other-service, Own-child,*,Female,0,0,4,*, <=50K
*,?,247986,Prof-school,15,*,?, Husband,*,Male,0,0,30,*, >50K
*,Private,199419,Some-college,10,*,Adm-clerical, Not-in-family,*,Female,0,0,40,*, <=50K
*,Private,99385,Bachelors,13,*,Exec-managerial, Unmarried,*,Female,0,0,40,*, <=50K
*,?,303588,HS-grad,9,*,?, Husband,*,Male,0,0,20,*, <=50K
*,State-gov,318982,Masters,14,*,Machine-op-inspct, Husband,*,Male,0,1848,40,*, >50K
*,Private,169092,Masters,14,*,Prof-specialty, Unmarried,*,Female,0,0,50,*, >50K
*,Self-emp-not-inc,223131,HS-grad,9,*,Exec-managerial, Not-in-family,*,Male,0,0,60,*, <=50K
*,Local-gov,171328,HS-grad,9,*,Protective-serv, Other-relative,*,Female,0,2339,40,*, <=50K
*,Private,328216,HS-grad,9,*,Craft-repair, Husband,*,Male,0,0,40,*, >50K
*,Self-emp-inc,354075,Bachelors,13,*,Exec-managerial, Husband,*,Male,0,0,50,*, >50K
