age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
"[40, 80)",Self-emp-not-inc,149220,Some-college,10,Spouse present,Farming-fishing, Husband,*,Male,0,0,75,North America, <=50K
"[40, 80)",Private,316101,HS-grad,9,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[0, 40)",Local-gov,353270,Assoc-voc,11,Spouse not present,Craft-repair, Own-child,*,Female,0,0,40,North America, <=50K
"[40, 80)",Self-emp-not-inc,185407,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,50,North America, >50K
"[0, 40)",Self-emp-not-inc,137527,Doctorate,16,Spouse not present,Prof-specialty, Not-in-family,*,Female,0,2559,60,North America, >50K
"[0, 40)",Private,85389,HS-grad,9,Spouse not present,Tech-support, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,129059,Some-college,10,Spouse not present,Sales, Own-child,*,Male,0,0,30,North America, <=50K
"[0, 40)",Private,159187,HS-grad,9,Spouse not present,Transport-moving, Own-child,*,Male,0,0,40,North America, <=50K
"[0, 40)",?,174461,HS-grad,9,Spouse not present,?, Own-child,*,Female,0,0,5,North America, <=50K
"[40, 80)",Private,87284,Prof-school,15,Spouse present,Prof-specialty, Husband,*,Male,7298,0,35,North America, >50K
"[0, 40)",Private,120238,Bachelors,13,Spouse not present,Sales, Other-relative,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,117526,Some-college,10,Spouse not present,Farming-fishing, Not-in-family,*,Female,0,0,45,North America, <=50K
"[40, 80)",Private,268553,HS-grad,9,Spouse present,Transport-moving, Husband,*,Male,7298,0,40,North America, >50K
"[40, 80)",Private,163814,10th,6,Spouse present,Craft-repair, Husband,*,Male,0,0,40,North America, <=50K
"[0, 40)",Private,36601,Some-college,10,Spouse not present,Other-service, Unmarried,*,Female,0,0,35,North America, <=50K
"[40, 80)",Private,75913,12th,8,Spouse not present,Sales, Not-in-family,*,Female,0,0,30,North America, <=50K
"[40, 80)",Private,276664,Doctorate,16,Spouse present,Prof-specialty, Husband,*,Male,0,1902,50,North America, >50K
"[0, 40)",Private,191777,Masters,14,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",Self-emp-inc,168796,Bachelors,13,Spouse present,Sales, Husband,*,Male,0,0,55,North America, <=50K
"[40, 80)",Private,141570,Masters,14,Spouse present,Exec-managerial, Husband,*,Male,0,1977,40,North America, >50K
"[0, 40)",Private,63021,Some-college,10,Spouse not present,Sales, Not-in-family,*,Female,0,0,35,North America, <=50K
"[40, 80)",Federal-gov,27432,HS-grad,9,Spouse present,Adm-clerical, Husband,*,Male,0,0,40,North America, >50K
"[40, 80)",Private,152568,HS-grad,9,Spouse not present,Sales, Unmarried,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,46870,Some-college,10,Spouse not present,Exec-managerial, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",State-gov,118447,Bachelors,13,Spouse present,Prof-specialty, Husband,*,Male,0,0,60,North America, >50K
"[0, 40)",Self-emp-not-inc,60981,11th,7,Spouse not present,Other-service, Own-child,*,Female,0,0,4,North America, <=50K
"[40, 80)",?,247986,Prof-school,15,Spouse present,?, Husband,*,Male,0,0,30,North America, >50K
"[0, 40)",Private,199419,Some-college,10,Spouse not present,Adm-clerical, Not-in-family,*,Female,0,0,40,North America, <=50K
"[40, 80)",Private,99385,Bachelors,13,Spouse not present,Exec-managerial, Unmarried,*,Female,0,0,40,North America, <=50K
"[40, 80)",?,303588,HS-grad,9,Spouse present,?, Husband,*,Male,0,0,20,North America, <=50K
"[40, 80)",Private,169092,Masters,14,Spouse not present,Prof-specialty, Unmarried,*,Female,0,0,50,North America, >50K
"[40, 80)",Local-gov,171328,HS-grad,9,Spouse not present,Protective-serv, Other-relative,*,Female,0,2339,40,North America, <=50K
"[40, 80)",Private,328216,HS-grad,9,Spouse present,Craft-repair, Husband,*,Male,0,0,40,North America, >50K
"[40, 80)",Self-emp-inc,354075,Bachelors,13,Spouse present,Exec-managerial, Husband,*,Male,0,0,50,North America, >50K
